Row	Nr	amps	fire_rate	Quality
Template1	277	-0.863886140423657	24.3468388997131	44.7089947089947
Template2	128	-1.66523155369275	11.3698288881623	NaN
Template3	56	-0.783018557793687	4.87993056225287	NaN
Template4	36	1.3832209324686	3.27116095737332	NaN
Template5	13	-1.84265680392295	1.40068105578872	NaN
Template6	125	0.940933474731828	10.9769146094574	NaN
Template7	50	1.19445639867058	4.41642109223149	NaN
Template8	190	1.08932432807937	16.8835204101449	NaN
Template9	21	2.08590981699666	1.7832152922341	NaN
Template10	31	2.06133553173126	2.66079492212355	NaN
Template11	131	3.12738274837944	11.6561929860126	NaN
Template12	44	-0.799189131327572	3.87647033461504	NaN
Template13	33	-0.828790389139944	2.97921431318181	NaN
Template14	249	1.97103721343233	22.015855739021	NaN
Template15	50	-1.70964058921522	4.43060617139802	NaN
Template16	7	1.32534258725897	0.675983482490558	NaN
Template17	35	1.61875859559465	3.0555588116924	NaN
Template18	45	7.16949086076836	4.87363230081677	NaN
Total(Classified)	1521	NaN	NaN	NaN
Total(Detected)	3402	NaN	NaN	NaN
Total(Unclassified)	1881	NaN	NaN	NaN
